Username,Comment
@amitspointxisacademy9570,Who says Abhishekh can't dance❤
@maleeshasewwandi8671,Rani's dance🔥❤
@arihanttiwari2588,Ufff Rani Mukherjee 🤌❤️
@chhamasharma9085,❤❤
@niharikakhandelwal5445,Heard this song in Jhalak dikhlaja performance by Akash and Adrija and I liked this song and now I am here
@lonely_lifee,only rani k liye sirf 1 like ❤
@MadaraUchiha-eh7oo,Damn!! She's so beautiful and hot also talented be it acting or dance... I have been permanently crushing on her
@peekayplayzzz,used to play NFS while playing this song in the background in childhood and its like a super nostalgia
@Maryam-zf6wb,Who’s still watching on february 2024???? 🎉🎉🎉🎉😂😂😂😂😂😂😂😂❤❤❤❤❤🩷🩷🩷
@infoabhitech,🕺💃🎶🎶🎶
@tarunkakkar-fw3tm,Superb❤
@jan-florinzamfiroiu5088,This   is   The   Good   Rhythm   than   We   Search   Bro...(!)  Excellent...!   Respect   from   France...!
@shayaridilsey6150,Maa baap ne rani ka naam saii rani rakha h❤
@ganeshjangid6716,Bro thinks he is Hrithik Roshan 🤦🙏
@shanebeard2044,Ahloa I’m shanebearddj lots of Love ❤️
@PankajGupta-tp9lw,It would be wrong to give credit only to Rani or Abhishek or Davar the Choreographer. Fact is the chemistry of the whole group and A and R is beyond words.
@pritibhatiya2133,Nailed it this song my childhood fav song❤❤❤
@msanjalimenon5311,The time when signature steps used  to be long and we used to have fun getting them right❤
@LaibaHumayun-tr4yr,Bard
@pruthvirajchavan5899,Childhood reminds
@dhanashreemane7938,Nostalgic❤❤
@muskanaslamkhan1215,Rani dancing on such high heels 😮
@seerazmirza1293,"Dancing on Back re on dancing 🐒 🐒🐒 ran out
🎉🎉🎉🎉🎉"
@atasighosh1787,Bantisona tumi rag korcho kano? Amake biswas koro sona
@anandrajsharma8750,"2005😢
Children practicing for annual function on this song ,while we were in class."
@rookieboy3019,What an era of good music ❤❤🎉 and brilliant movie writing .... gone are the days when we got to see these kind of masterpieces...😢
